Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Area Count,Time,Y Offset(ft),Pass Num,Moisture(%),Eng Load(%),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Crop Flw(M)(lb/s),Yld Vol(Dry)(bu/ac),Yld Vol(Wet)(bu/ac),Speed(mph),Prod(ac/h),Crop Flw(V)(bu/h),Date
-81.49588920,35.94459415,bif field,2021_06_18_001 (13078),WHEAT,1,29.99,3.904,1.000,200.96,1156.1,On,6/18/2021,0.00,2,6.720,4649.4,1680.3,1680.3,4.516,31.12,31.12,2.662,9.676,301.08,6/18/2021
-81.49588170,35.94461000,bif field,2021_06_18_001 (13078),WHEAT,2,29.99,4.265,1.000,214.19,1156.1,On,6/18/2021,0.00,2,6.720,5202.9,2451.2,2451.2,7.197,45.39,45.39,2.908,10.57,479.79,6/18/2021
-81.49586500,35.94462990,bif field,2021_06_18_001 (13078),WHEAT,3,29.99,4.462,1.000,214.19,1156.8,On,6/18/2021,0.00,2,6.737,5202.9,3238.9,3238.9,9.949,59.98,59.98,3.042,11.06,663.25,6/18/2021
-81.49586500,35.94462990,bif field,2021_06_18_001 (13078),WHEAT,4,29.99,4.528,1.000,221.84,1156.8,On,6/18/2021,0.00,2,6.737,5202.9,3880.4,3880.4,12.09,71.86,71.86,3.087,11.22,806.29,6/18/2021
-81.49585387,35.94463997,bif field,2021_06_18_001 (13078),WHEAT,5,29.99,4.626,1.000,221.84,1162.4,On,6/18/2021,0.00,2,6.758,5300.0,3496.3,3496.3,11.13,64.75,64.75,3.154,11.46,742.28,6/18/2021
-81.49584830,35.94464500,bif field,2021_06_18_001 (13078),WHEAT,6,29.99,4.626,1.000,233.91,1162.4,On,6/18/2021,0.00,2,6.758,5300.0,3046.9,3046.9,9.703,56.42,56.42,3.154,11.46,646.87,6/18/2021
-81.49584830,35.94464500,bif field,2021_06_18_001 (13078),WHEAT,7,29.99,4.528,1.000,233.91,1165.4,On,6/18/2021,0.00,2,6.793,5300.0,2172.1,2172.1,6.770,40.22,40.22,3.087,11.22,451.34,6/18/2021
-81.49582000,35.94466170,bif field,2021_06_18_001 (13078),WHEAT,8,29.99,4.495,1.000,218.99,1165.4,On,6/18/2021,0.00,2,6.793,5202.1,1889.0,1889.0,5.845,34.98,34.98,3.065,11.14,389.66,6/18/2021
-81.49579670,35.94468500,bif field,2021_06_18_001 (13078),WHEAT,9,29.99,4.560,1.000,218.99,1168.3,On,6/18/2021,0.00,2,6.800,5202.1,1248.5,1248.5,3.919,23.12,23.12,3.109,11.30,261.29,6/18/2021
-81.49579670,35.94468500,bif field,2021_06_18_001 (13078),WHEAT,10,29.99,4.626,1.000,212.59,1168.3,On,6/18/2021,0.00,2,6.800,5202.1,993.44,993.44,3.164,18.40,18.40,3.154,11.46,210.91,6/18/2021
-81.49577830,35.94470830,bif field,2021_06_18_001 (13078),WHEAT,11,29.99,4.528,1.000,212.59,1168.9,On,6/18/2021,0.00,2,6.801,4799.9,677.03,677.03,2.110,12.54,12.54,3.087,11.22,140.68,6/18/2021
-81.49577830,35.94470830,bif field,2021_06_18_001 (13078),WHEAT,12,29.99,4.429,1.000,243.71,1168.9,On,6/18/2021,0.00,2,6.801,4799.9,961.12,961.12,2.930,17.80,17.80,3.020,10.98,195.37,6/18/2021
-81.49576163,35.94471497,bif field,2021_06_18_001 (13078),WHEAT,13,29.99,4.659,1.000,243.71,1170.9,On,6/18/2021,0.00,2,6.801,4799.9,1532.9,1532.9,4.916,28.39,28.39,3.176,11.55,327.74,6/18/2021
-81.49575330,35.94471830,bif field,2021_06_18_001 (13078),WHEAT,14,29.99,4.888,1.000,235.49,1170.9,On,6/18/2021,0.00,2,6.801,6387.1,1838.8,1838.8,6.188,34.05,34.05,3.333,12.11,412.53,6/18/2021
-81.49575330,35.94471830,bif field,2021_06_18_001 (13078),WHEAT,15,29.99,5.184,1.000,235.49,1176.2,On,6/18/2021,0.00,2,6.801,6387.1,2619.0,2619.0,9.346,48.50,48.50,3.534,12.85,623.05,6/18/2021
-81.49572330,35.94473500,bif field,2021_06_18_001 (13078),WHEAT,16,29.99,4.888,1.000,274.51,1176.2,On,6/18/2021,0.00,2,6.801,6387.1,2314.7,2314.7,7.789,42.86,42.86,3.333,12.11,519.30,6/18/2021
-81.49569670,35.94473330,bif field,2021_06_18_001 (13078),WHEAT,17,29.99,4.560,1.000,274.51,1177.5,On,6/18/2021,0.00,2,6.801,4347.7,2695.9,2695.9,8.463,49.92,49.92,3.109,11.30,564.23,6/18/2021
-81.49569670,35.94473330,bif field,2021_06_18_001 (13078),WHEAT,18,29.99,4.331,1.000,292.30,1177.5,On,6/18/2021,0.00,2,6.801,4347.7,2657.0,2657.0,7.921,49.20,49.20,2.953,10.73,528.08,6/18/2021
-81.49567170,35.94472500,bif field,2021_06_18_001 (13078),WHEAT,19,29.99,4.364,1.000,292.30,1176.2,On,6/18/2021,0.00,2,6.769,4347.7,3293.3,3293.3,9.893,60.99,60.99,2.975,10.81,659.51,6/18/2021
-81.49567170,35.94472500,bif field,2021_06_18_001 (13078),WHEAT,20,29.99,4.298,1.000,295.84,1174.5,On,6/18/2021,0.00,2,6.769,3895.7,3391.5,3391.5,10.03,62.80,62.80,2.930,10.65,668.95,6/18/2021
-81.49565163,35.94471713,bif field,2021_06_18_001 (13078),WHEAT,21,29.99,4.298,1.000,295.84,1174.5,On,6/18/2021,0.00,2,6.762,3895.7,3107.2,3107.2,9.193,57.54,57.54,2.930,10.65,612.88,6/18/2021
-81.49564160,35.94471320,bif field,2021_06_18_001 (13078),WHEAT,22,29.99,4.331,1.000,310.20,1174.5,On,6/18/2021,0.00,2,6.762,3895.7,3520.2,3520.2,10.49,65.19,65.19,2.953,10.73,699.64,6/18/2021
-81.49564160,35.94471320,bif field,2021_06_18_001 (13078),WHEAT,23,29.99,4.364,1.000,310.20,1173.6,On,6/18/2021,0.00,2,6.742,4360.3,3279.9,3279.9,9.852,60.74,60.74,2.975,10.81,656.82,6/18/2021
-81.49561500,35.94469500,bif field,2021_06_18_001 (13078),WHEAT,24,29.99,4.396,1.000,300.31,1173.6,On,6/18/2021,0.00,2,6.742,4360.3,3198.9,3198.9,9.681,59.24,59.24,2.997,10.90,645.42,6/18/2021
-81.49558330,35.94468000,bif field,2021_06_18_001 (13078),WHEAT,25,29.99,4.396,1.000,300.31,1172.2,On,6/18/2021,0.00,2,6.723,4360.3,1951.9,1951.9,5.907,36.15,36.15,2.997,10.90,393.82,6/18/2021
-81.49558330,35.94468000,bif field,2021_06_18_001 (13078),WHEAT,26,29.99,4.757,1.000,291.08,1172.2,On,6/18/2021,0.00,2,6.723,4187.7,1357.0,1357.0,4.444,25.13,25.13,3.244,11.79,296.27,6/18/2021
-81.49555670,35.94467170,bif field,2021_06_18_001 (13078),WHEAT,27,29.99,5.151,1.000,291.08,1174.5,On,6/18/2021,0.00,2,6.688,4187.7,671.43,671.43,2.381,12.43,12.43,3.512,12.77,158.72,6/18/2021
-81.49555670,35.94467170,bif field,2021_06_18_001 (13078),WHEAT,28,29.99,5.052,1.000,303.83,1174.5,On,6/18/2021,0.00,2,6.688,4187.7,605.81,605.81,2.107,11.22,11.22,3.445,12.52,140.47,6/18/2021
-81.49554337,35.94466447,bif field,2021_06_18_001 (13078),WHEAT,29,29.99,4.626,1.000,303.83,1175.2,On,6/18/2021,0.00,2,6.682,5359.7,571.43,571.43,1.820,10.58,10.58,3.154,11.46,121.32,6/18/2021
-81.49551670,35.94465000,bif field,2021_06_18_001 (13078),WHEAT,30,29.99,4.626,1.000,283.88,1175.2,On,6/18/2021,0.00,2,6.682,5359.7,381.31,381.31,1.214,7.061,7.061,3.154,11.46,80.95,6/18/2021
-81.49551670,35.94465000,bif field,2021_06_18_001 (13078),WHEAT,31,29.99,4.396,1.000,283.88,1178.8,On,6/18/2021,0.00,2,6.714,5359.7,307.53,307.53,0.931,5.695,5.695,2.997,10.90,62.05,6/18/2021
-81.49549170,35.94464500,bif field,2021_06_18_001 (13078),WHEAT,32,29.99,3.675,1.000,344.61,1178.8,On,6/18/2021,0.00,2,6.714,4164.6,295.11,295.11,0.746,5.465,5.465,2.505,9.106,49.77,6/18/2021
-81.49549000,35.94464000,bif field,2021_06_18_001 (13078),WHEAT,33,29.99,1.739,1.000,344.61,1178.5,On,6/18/2021,0.00,2,6.720,4164.6,626.04,626.04,0.749,11.59,11.59,1.186,4.309,49.96,6/18/2021
-81.49549000,35.94464000,bif field,2021_06_18_001 (13078),WHEAT,34,29.99,1.378,1.000,134.53,1178.5,On,6/18/2021,0.00,2,6.720,4164.6,702.97,702.97,0.667,13.02,13.02,0.940,3.415,44.46,6/18/2021
-81.49550113,35.94464887,bif field,2021_06_18_001 (13078),WHEAT,35,29.99,2.526,1.000,134.53,1179.1,On,6/18/2021,0.00,2,6.754,4585.7,389.85,389.85,0.678,7.220,7.220,1.722,6.261,45.20,6/18/2021
-81.49550670,35.94465330,bif field,2021_06_18_001 (13078),WHEAT,36,29.99,2.953,1.000,122.01,1180.4,On,6/18/2021,0.00,2,6.754,4585.7,355.43,355.43,0.722,6.582,6.582,2.013,7.318,48.16,6/18/2021
-81.49550670,35.94465330,bif field,2021_06_18_001 (13078),WHEAT,37,29.99,3.117,1.000,122.01,1180.4,On,6/18/2021,0.00,2,6.781,4585.7,311.96,311.96,0.669,5.777,5.777,2.125,7.724,44.62,6/18/2021
-81.49552330,35.94466170,bif field,2021_06_18_001 (13078),WHEAT,38,29.99,3.150,1.000,117.83,1180.4,On,6/18/2021,0.00,2,6.781,3477.3,363.08,363.08,0.787,6.724,6.724,2.147,7.805,52.48,6/18/2021
-81.49552330,35.94466170,bif field,2021_06_18_001 (13078),WHEAT,39,29.99,2.854,1.000,117.83,1180.4,On,6/18/2021,0.00,2,6.786,3477.3,414.85,414.85,0.815,7.682,7.682,1.946,7.074,54.34,6/18/2021
-81.49553500,35.94466670,bif field,2021_06_18_001 (13078),WHEAT,40,29.99,1.739,1.000,331.52,1180.4,On,6/18/2021,0.00,2,6.786,3477.3,708.92,708.92,0.849,13.13,13.13,1.186,4.309,56.57,6/18/2021
-81.49552830,35.94465670,bif field,2021_06_18_001 (13078),WHEAT,41,29.99,0.787,1.000,331.52,1180.7,On,6/18/2021,0.00,2,6.799,3737.4,3611.5,3611.5,1.958,66.88,66.88,0.537,1.951,130.51,6/18/2021
-81.49552830,35.94465670,bif field,2021_06_18_001 (13078),WHEAT,42,29.99,1.903,1.000,312.13,1180.7,On,6/18/2021,0.00,2,6.799,3737.4,3490.0,3490.0,4.572,64.63,64.63,1.297,4.716,304.78,6/18/2021
-81.49551610,35.94464777,bif field,2021_06_18_001 (13078),WHEAT,43,29.99,2.887,1.000,312.13,1181.8,On,6/18/2021,0.00,2,6.801,3737.4,4180.7,4180.7,8.309,77.42,77.42,1.969,7.155,553.94,6/18/2021
